time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
8,2.0,497133,385185,7414,2377,8.0,6.0,22.225134008338298,rep1_FOV1.tif
8,3.0,874595,476341,7816,2885,13.0,8.0,80.76536199553843,rep1_FOV1.tif
8,4.0,474670,407916,7036,2478,2.0,2.0,14.645458534444932,rep1_FOV1.tif
8,5.0,746070,402807,7095,2495,13.0,7.0,74.62239130434783,rep1_FOV1.tif
8,6.0,539604,442268,7779,2691,9.0,9.0,19.13050314465409,rep1_FOV1.tif
8,8.0,445269,422105,6833,2554,1.0,1.0,5.413414349146997,rep1_FOV1.tif
8,9.0,738951,416637,7218,2565,10.0,6.0,69.27014829142489,rep1_FOV1.tif
9,2.0,500425,386035,7383,2360,7.0,6.0,22.773243081823612,rep1_FOV1.tif
9,3.0,798914,471539,7750,2895,14.0,9.0,67.43048403707517,rep1_FOV1.tif
9,4.0,462285,405360,6917,2466,3.0,3.0,12.789260840260615,rep1_FOV1.tif
9,5.0,714052,411842,7034,2508,15.0,9.0,66.7719840919134,rep1_FOV1.tif
9,6.0,516980,440442,7693,2692,7.0,7.0,15.304539092181564,rep1_FOV1.tif
9,8.0,443844,415588,6782,2567,1.0,1.0,6.703677342823251,rep1_FOV1.tif
9,9.0,688953,421145,7198,2594,9.0,5.0,58.16854908774978,rep1_FOV1.tif
10,2.0,485299,387339,7354,2366,7.0,7.0,19.639133921411386,rep1_FOV1.tif
10,3.0,769075,473605,7737,2896,14.0,9.0,61.03491014253253,rep1_FOV1.tif
10,4.0,480021,404875,6971,2493,9.0,7.0,16.78115230013399,rep1_FOV1.tif
10,5.0,691460,412426,7065,2496,14.0,7.0,61.0711315386299,rep1_FOV1.tif
10,6.0,519574,446136,7720,2690,3.0,2.0,14.6,rep1_FOV1.tif
10,8.0,456284,420135,6767,2552,13.0,12.0,8.576275207591934,rep1_FOV1.tif
10,9.0,657070,422554,7215,2570,8.0,4.0,50.48783638320775,rep1_FOV1.tif
11,2.0,493205,388577,7382,2383,12.0,11.0,20.929785957191438,rep1_FOV1.tif
11,3.0,710049,473617,7684,2895,7.0,6.0,49.36980580496972,rep1_FOV1.tif
11,4.0,490146,405323,6996,2481,12.0,8.0,18.786932447397565,rep1_FOV1.tif
11,5.0,674327,412211,7046,2507,13.0,8.0,57.747521480502314,rep1_FOV1.tif
11,6.0,522795,440038,7713,2696,3.0,2.0,16.495315925852104,rep1_FOV1.tif
11,8.0,472470,424222,6823,2564,18.0,11.0,11.328480864052594,rep1_FOV1.tif
11,9.0,615815,420083,7215,2572,8.0,7.0,42.15636441955632,rep1_FOV1.tif
12,2.0,500161,382820,7391,2361,7.0,6.0,23.328230616302186,rep1_FOV1.tif
12,3.0,656962,477634,7706,2897,7.0,6.0,37.29008109794136,rep1_FOV1.tif
12,4.0,521175,409138,6969,2495,12.0,8.0,25.041797049620026,rep1_FOV1.tif
12,5.0,663151,410697,7036,2505,15.0,11.0,55.71706025160009,rep1_FOV1.tif
12,6.0,522905,439948,7703,2685,1.0,0.0,16.531885213232364,rep1_FOV1.tif
12,8.0,496242,423863,6827,2570,8.0,5.0,17.002349072116512,rep1_FOV1.tif
12,9.0,587893,422011,7212,2561,11.0,7.0,35.6658783057407,rep1_FOV1.tif
