Time,Transcription_Site_ID,Cell_ID,Position_X,Position_Y,Intensity,image_name
0,1,1,68,98,75,rep1_FOV1.tif
0,2,1,101,72,143,rep1_FOV1.tif
0,3,2,103,320,106,rep1_FOV1.tif
0,4,4,204,342,70,rep1_FOV1.tif
0,5,4,219,337,149,rep1_FOV1.tif
0,6,5,213,495,74,rep1_FOV1.tif
0,7,6,203,589,255,rep1_FOV1.tif
0,8,9,428,61,105,rep1_FOV1.tif
0,9,10,483,343,142,rep1_FOV1.tif
1,1,1,88,89,255,rep1_FOV1.tif
1,2,1,101,73,103,rep1_FOV1.tif
1,3,2,104,320,71,rep1_FOV1.tif
1,4,4,221,338,119,rep1_FOV1.tif
1,5,5,213,495,77,rep1_FOV1.tif
1,6,6,206,589,204,rep1_FOV1.tif
1,7,7,286,225,73,rep1_FOV1.tif
1,8,7,307,203,158,rep1_FOV1.tif
1,9,7,323,197,255,rep1_FOV1.tif
1,10,9,429,63,194,rep1_FOV1.tif
1,11,10,483,343,109,rep1_FOV1.tif
1,12,12,529,583,218,rep1_FOV1.tif
2,1,1,89,90,137,rep1_FOV1.tif
2,2,1,98,73,255,rep1_FOV1.tif
2,3,6,207,589,104,rep1_FOV1.tif
2,4,7,300,204,91,rep1_FOV1.tif
2,5,7,306,203,132,rep1_FOV1.tif
2,6,7,315,214,87,rep1_FOV1.tif
2,7,7,322,197,171,rep1_FOV1.tif
2,8,9,428,63,83,rep1_FOV1.tif
2,9,10,461,343,73,rep1_FOV1.tif
2,10,10,474,343,129,rep1_FOV1.tif
2,11,10,484,343,135,rep1_FOV1.tif
2,12,12,530,582,156,rep1_FOV1.tif
3,1,1,89,92,97,rep1_FOV1.tif
3,2,1,99,73,159,rep1_FOV1.tif
3,3,4,222,334,80,rep1_FOV1.tif
3,4,7,304,194,85,rep1_FOV1.tif
3,5,7,307,202,86,rep1_FOV1.tif
3,6,7,323,196,88,rep1_FOV1.tif
3,7,10,484,343,80,rep1_FOV1.tif
3,8,11,495,203,255,rep1_FOV1.tif
3,9,12,530,580,84,rep1_FOV1.tif
3,10,13,554,52,255,rep1_FOV1.tif
4,1,1,89,90,255,rep1_FOV1.tif
4,2,7,321,201,71,rep1_FOV1.tif
4,3,11,495,205,82,rep1_FOV1.tif
