Time,Transcription_Site_ID,Cell_ID,Position_X,Position_Y,Intensity,image_name
4,4,11,500,220,75,rep1_FOV1.tif
4,5,13,552,53,144,rep1_FOV1.tif
4,6,14,584,441,255,rep1_FOV1.tif
5,1,1,88,90,192,rep1_FOV1.tif
5,2,2,103,321,87,rep1_FOV1.tif
5,3,4,219,336,255,rep1_FOV1.tif
5,4,5,219,478,142,rep1_FOV1.tif
5,5,6,201,589,103,rep1_FOV1.tif
5,6,11,495,203,144,rep1_FOV1.tif
5,7,13,553,53,163,rep1_FOV1.tif
5,8,13,566,60,114,rep1_FOV1.tif
5,9,14,574,434,72,rep1_FOV1.tif
5,10,14,585,441,120,rep1_FOV1.tif
6,1,1,89,89,125,rep1_FOV1.tif
6,2,4,219,335,169,rep1_FOV1.tif
6,3,5,211,494,184,rep1_FOV1.tif
6,4,5,218,478,69,rep1_FOV1.tif
6,5,6,202,588,84,rep1_FOV1.tif
6,6,11,495,204,104,rep1_FOV1.tif
6,7,12,530,579,116,rep1_FOV1.tif
6,8,12,536,593,255,rep1_FOV1.tif
6,9,13,555,53,128,rep1_FOV1.tif
6,10,14,584,441,78,rep1_FOV1.tif
7,1,2,104,319,75,rep1_FOV1.tif
7,2,5,212,494,134,rep1_FOV1.tif
7,3,5,219,476,245,rep1_FOV1.tif
7,4,7,324,196,99,rep1_FOV1.tif
7,5,8,334,486,82,rep1_FOV1.tif
7,6,8,342,480,99,rep1_FOV1.tif
7,7,9,431,62,133,rep1_FOV1.tif
7,8,12,531,582,192,rep1_FOV1.tif
7,9,12,536,593,142,rep1_FOV1.tif
7,10,13,554,52,91,rep1_FOV1.tif
7,11,13,566,60,185,rep1_FOV1.tif
8,1,2,104,321,84,rep1_FOV1.tif
8,2,5,215,492,74,rep1_FOV1.tif
8,3,5,221,476,114,rep1_FOV1.tif
8,4,7,323,195,76,rep1_FOV1.tif
8,5,8,334,486,83,rep1_FOV1.tif
8,6,12,530,582,79,rep1_FOV1.tif
8,7,13,565,57,71,rep1_FOV1.tif
9,1,2,104,321,84,rep1_FOV1.tif
9,2,3,147,229,77,rep1_FOV1.tif
9,3,12,530,580,69,rep1_FOV1.tif
9,4,12,535,592,167,rep1_FOV1.tif
9,5,13,554,52,255,rep1_FOV1.tif
9,6,13,565,60,229,rep1_FOV1.tif
10,1,2,104,320,238,rep1_FOV1.tif
10,2,6,202,589,75,rep1_FOV1.tif
10,3,8,339,482,143,rep1_FOV1.tif
10,4,12,533,588,149,rep1_FOV1.tif
10,5,13,554,53,190,rep1_FOV1.tif
10,6,13,563,62,108,rep1_FOV1.tif
10,7,13,565,31,68,rep1_FOV1.tif
11,1,2,104,319,255,rep1_FOV1.tif
11,2,9,430,62,99,rep1_FOV1.tif
11,3,12,529,581,105,rep1_FOV1.tif
11,4,12,537,592,103,rep1_FOV1.tif
11,5,13,554,53,255,rep1_FOV1.tif
11,6,13,564,61,130,rep1_FOV1.tif
11,7,14,584,441,105,rep1_FOV1.tif
12,1,2,104,320,110,rep1_FOV1.tif
12,2,8,341,480,153,rep1_FOV1.tif
12,3,13,555,53,188,rep1_FOV1.tif
12,4,13,565,59,103,rep1_FOV1.tif
12,5,14,583,441,255,rep1_FOV1.tif
13,1,2,104,320,104,rep1_FOV1.tif
13,2,4,220,336,156,rep1_FOV1.tif
13,3,8,338,484,190,rep1_FOV1.tif
13,4,12,530,583,150,rep1_FOV1.tif
13,5,12,536,593,211,rep1_FOV1.tif
13,6,13,554,53,134,rep1_FOV1.tif
13,7,14,577,428,68,rep1_FOV1.tif
13,8,14,583,442,170,rep1_FOV1.tif
14,1,4,220,334,106,rep1_FOV1.tif
14,2,6,207,589,178,rep1_FOV1.tif
14,3,8,335,487,87,rep1_FOV1.tif
14,4,12,530,582,99,rep1_FOV1.tif
14,5,12,536,593,107,rep1_FOV1.tif
14,6,13,554,53,110,rep1_FOV1.tif
14,7,14,584,440,68,rep1_FOV1.tif
15,1,2,105,318,255,rep1_FOV1.tif
15,2,4,220,336,144,rep1_FOV1.tif
15,3,5,219,477,215,rep1_FOV1.tif
15,4,6,207,589,140,rep1_FOV1.tif
15,5,7,323,196,149,rep1_FOV1.tif
15,6,12,536,593,255,rep1_FOV1.tif
15,7,13,555,53,144,rep1_FOV1.tif
16,1,2,106,317,202,rep1_FOV1.tif
16,2,4,219,336,255,rep1_FOV1.tif
16,3,5,219,474,97,rep1_FOV1.tif
16,4,6,206,587,142,rep1_FOV1.tif
16,5,8,337,484,255,rep1_FOV1.tif
16,6,9,430,63,215,rep1_FOV1.tif
16,7,12,535,593,174,rep1_FOV1.tif
16,8,14,587,438,76,rep1_FOV1.tif
17,1,2,103,321,184,rep1_FOV1.tif
17,2,4,219,336,175,rep1_FOV1.tif
17,3,5,220,476,255,rep1_FOV1.tif
17,4,5,226,486,87,rep1_FOV1.tif
17,5,6,207,589,142,rep1_FOV1.tif
17,6,8,340,481,255,rep1_FOV1.tif
17,7,9,430,63,70,rep1_FOV1.tif
17,8,14,584,442,77,rep1_FOV1.tif
18,1,2,104,319,255,rep1_FOV1.tif
18,2,4,218,335,95,rep1_FOV1.tif
18,3,5,221,477,135,rep1_FOV1.tif
18,4,6,207,590,97,rep1_FOV1.tif
18,5,8,340,482,134,rep1_FOV1.tif
18,6,9,431,64,165,rep1_FOV1.tif
18,7,13,554,51,83,rep1_FOV1.tif
18,8,13,566,60,157,rep1_FOV1.tif
19,1,2,103,319,255,rep1_FOV1.tif
19,2,4,223,335,122,rep1_FOV1.tif
19,3,5,219,478,90,rep1_FOV1.tif
19,4,8,341,481,212,rep1_FOV1.tif
19,5,9,430,61,255,rep1_FOV1.tif
19,6,13,555,50,83,rep1_FOV1.tif
19,7,13,568,59,88,rep1_FOV1.tif
20,1,1,87,90,205,rep1_FOV1.tif
20,2,2,103,318,110,rep1_FOV1.tif
20,3,4,222,336,255,rep1_FOV1.tif
20,4,5,214,493,123,rep1_FOV1.tif
20,5,5,219,473,66,rep1_FOV1.tif
20,6,8,341,481,255,rep1_FOV1.tif
20,7,9,429,61,255,rep1_FOV1.tif
20,8,11,495,203,154,rep1_FOV1.tif
20,9,12,530,583,255,rep1_FOV1.tif
20,10,13,568,58,78,rep1_FOV1.tif
0,1,1,94,264,140,rep1_FOV2.tif
0,2,3,249,356,96,rep1_FOV2.tif
0,3,5,352,155,193,rep1_FOV2.tif
0,4,6,382,537,72,rep1_FOV2.tif
0,5,7,472,271,102,rep1_FOV2.tif
0,6,8,513,54,100,rep1_FOV2.tif
0,7,10,616,552,255,rep1_FOV2.tif
0,8,10,615,541,106,rep1_FOV2.tif
1,1,1,93,263,104,rep1_FOV2.tif
1,2,2,133,139,83,rep1_FOV2.tif
1,3,3,249,356,180,rep1_FOV2.tif
1,4,4,248,602,146,rep1_FOV2.tif
1,5,5,353,154,83,rep1_FOV2.tif
1,6,9,618,221,224,rep1_FOV2.tif
1,7,10,616,551,123,rep1_FOV2.tif
2,1,2,138,141,79,rep1_FOV2.tif
2,2,3,249,357,103,rep1_FOV2.tif
2,3,4,249,602,185,rep1_FOV2.tif
2,4,7,471,271,255,rep1_FOV2.tif
2,5,10,583,551,78,rep1_FOV2.tif
2,6,10,616,545,78,rep1_FOV2.tif
2,7,10,616,553,74,rep1_FOV2.tif
3,1,4,249,602,98,rep1_FOV2.tif
3,2,5,354,155,246,rep1_FOV2.tif
3,3,7,472,270,123,rep1_FOV2.tif
4,1,2,131,140,89,rep1_FOV2.tif
4,2,4,238,603,255,rep1_FOV2.tif
4,3,5,354,156,85,rep1_FOV2.tif
4,4,7,471,269,255,rep1_FOV2.tif
5,1,2,131,139,222,rep1_FOV2.tif
5,2,4,238,602,228,rep1_FOV2.tif
5,3,4,248,603,119,rep1_FOV2.tif
5,4,5,353,156,255,rep1_FOV2.tif
5,5,7,471,270,255,rep1_FOV2.tif
5,6,8,521,50,131,rep1_FOV2.tif
6,1,2,131,138,255,rep1_FOV2.tif
6,2,2,143,144,118,rep1_FOV2.tif
6,3,4,237,604,95,rep1_FOV2.tif
6,4,4,248,601,76,rep1_FOV2.tif
6,5,5,354,155,182,rep1_FOV2.tif
6,6,7,471,270,219,rep1_FOV2.tif
6,7,8,523,49,78,rep1_FOV2.tif
7,1,2,131,138,152,rep1_FOV2.tif
7,2,2,143,145,87,rep1_FOV2.tif
7,3,4,238,603,69,rep1_FOV2.tif
7,4,5,353,156,172,rep1_FOV2.tif
7,5,7,470,271,104,rep1_FOV2.tif
7,6,8,514,55,149,rep1_FOV2.tif
7,7,10,615,543,255,rep1_FOV2.tif
8,1,1,94,264,166,rep1_FOV2.tif
8,2,2,132,134,81,rep1_FOV2.tif
8,3,4,249,603,162,rep1_FOV2.tif
8,4,5,353,154,83,rep1_FOV2.tif
8,5,7,465,282,192,rep1_FOV2.tif
8,6,7,474,270,87,rep1_FOV2.tif
8,7,8,514,54,94,rep1_FOV2.tif
8,8,10,613,543,95,rep1_FOV2.tif
9,1,1,94,263,146,rep1_FOV2.tif
9,2,2,132,134,84,rep1_FOV2.tif
9,3,3,251,355,67,rep1_FOV2.tif
9,4,4,250,602,91,rep1_FOV2.tif
9,5,5,351,156,176,rep1_FOV2.tif
9,6,7,446,252,72,rep1_FOV2.tif
9,7,7,466,282,255,rep1_FOV2.tif
9,8,10,615,543,75,rep1_FOV2.tif
10,1,1,94,264,84,rep1_FOV2.tif
10,2,7,467,283,165,rep1_FOV2.tif
10,3,10,616,551,255,rep1_FOV2.tif
11,1,1,87,263,78,rep1_FOV2.tif
11,2,5,352,154,161,rep1_FOV2.tif
11,3,6,383,540,255,rep1_FOV2.tif
11,4,7,468,283,115,rep1_FOV2.tif
11,5,9,602,231,144,rep1_FOV2.tif
11,6,10,598,541,69,rep1_FOV2.tif
11,7,10,616,551,128,rep1_FOV2.tif
12,1,5,352,157,233,rep1_FOV2.tif
12,2,6,383,540,202,rep1_FOV2.tif
12,3,6,387,527,201,rep1_FOV2.tif
12,4,9,604,231,162,rep1_FOV2.tif
12,5,10,617,550,97,rep1_FOV2.tif
13,1,2,132,137,85,rep1_FOV2.tif
13,2,5,351,159,255,rep1_FOV2.tif
13,3,6,383,541,104,rep1_FOV2.tif
13,4,6,386,527,222,rep1_FOV2.tif
13,5,7,466,282,160,rep1_FOV2.tif
13,6,9,602,232,103,rep1_FOV2.tif
13,7,10,615,543,255,rep1_FOV2.tif
14,1,2,132,138,82,rep1_FOV2.tif
14,2,2,142,144,242,rep1_FOV2.tif
14,3,5,351,158,135,rep1_FOV2.tif
14,4,6,387,527,255,rep1_FOV2.tif
14,5,7,466,282,100,rep1_FOV2.tif
14,6,9,602,234,83,rep1_FOV2.tif
14,7,10,614,543,210,rep1_FOV2.tif
15,1,1,95,262,79,rep1_FOV2.tif
15,2,2,143,143,169,rep1_FOV2.tif
15,3,6,385,535,119,rep1_FOV2.tif
15,4,9,602,233,95,rep1_FOV2.tif
15,5,10,617,549,128,rep1_FOV2.tif
16,1,5,352,158,172,rep1_FOV2.tif
16,2,6,385,536,78,rep1_FOV2.tif
16,3,10,616,551,255,rep1_FOV2.tif
17,1,2,131,138,109,rep1_FOV2.tif
17,2,2,143,144,255,rep1_FOV2.tif
17,3,4,249,602,74,rep1_FOV2.tif
17,4,5,353,159,105,rep1_FOV2.tif
17,5,8,514,54,165,rep1_FOV2.tif
17,6,10,616,551,253,rep1_FOV2.tif
18,1,2,130,138,105,rep1_FOV2.tif
18,2,2,142,143,144,rep1_FOV2.tif
18,3,4,248,604,255,rep1_FOV2.tif
18,4,5,353,158,218,rep1_FOV2.tif
18,5,8,514,54,219,rep1_FOV2.tif
18,6,10,615,551,120,rep1_FOV2.tif
19,1,2,130,138,77,rep1_FOV2.tif
19,2,2,142,144,149,rep1_FOV2.tif
19,3,4,239,604,76,rep1_FOV2.tif
19,4,4,248,604,139,rep1_FOV2.tif
19,5,5,353,157,116,rep1_FOV2.tif
19,6,8,515,54,148,rep1_FOV2.tif
20,1,2,142,143,84,rep1_FOV2.tif
20,2,3,248,356,216,rep1_FOV2.tif
20,3,4,247,602,123,rep1_FOV2.tif
20,4,5,351,155,82,rep1_FOV2.tif
20,5,7,470,267,70,rep1_FOV2.tif
0,1,3,157,607,203,rep1_FOV3.tif
0,2,4,183,354,96,rep1_FOV3.tif
0,3,6,300,263,209,rep1_FOV3.tif
0,4,8,365,588,78,rep1_FOV3.tif
0,5,9,403,41,255,rep1_FOV3.tif
0,6,11,460,467,79,rep1_FOV3.tif
0,7,13,552,500,142,rep1_FOV3.tif
0,8,14,608,179,240,rep1_FOV3.tif
1,1,2,117,64,76,rep1_FOV3.tif
1,2,3,160,604,255,rep1_FOV3.tif
1,3,4,186,357,67,rep1_FOV3.tif
1,4,5,259,85,106,rep1_FOV3.tif
1,5,6,298,262,119,rep1_FOV3.tif
1,6,9,397,59,72,rep1_FOV3.tif
1,7,9,404,41,255,rep1_FOV3.tif
1,8,10,473,177,95,rep1_FOV3.tif
1,9,11,460,467,88,rep1_FOV3.tif
1,10,12,532,334,114,rep1_FOV3.tif
1,11,12,550,333,255,rep1_FOV3.tif
1,12,13,552,501,94,rep1_FOV3.tif
1,13,14,602,189,105,rep1_FOV3.tif
1,14,14,608,180,113,rep1_FOV3.tif
2,1,1,100,448,178,rep1_FOV3.tif
2,2,3,160,604,180,rep1_FOV3.tif
2,3,4,164,369,76,rep1_FOV3.tif
2,4,4,180,354,255,rep1_FOV3.tif
2,5,5,258,86,75,rep1_FOV3.tif
2,6,6,299,261,89,rep1_FOV3.tif
2,7,7,320,383,160,rep1_FOV3.tif
2,8,8,354,585,85,rep1_FOV3.tif
2,9,8,358,573,119,rep1_FOV3.tif
2,10,9,403,42,137,rep1_FOV3.tif
2,11,11,439,459,90,rep1_FOV3.tif
2,12,11,455,469,76,rep1_FOV3.tif
2,13,12,534,334,247,rep1_FOV3.tif
2,14,12,550,331,99,rep1_FOV3.tif
2,15,13,552,501,220,rep1_FOV3.tif
2,16,14,603,188,88,rep1_FOV3.tif
3,1,1,90,435,109,rep1_FOV3.tif
3,2,1,98,448,255,rep1_FOV3.tif
3,3,2,109,62,185,rep1_FOV3.tif
3,4,3,157,607,100,rep1_FOV3.tif
3,5,3,162,600,92,rep1_FOV3.tif
3,6,4,180,353,163,rep1_FOV3.tif
3,7,7,320,382,90,rep1_FOV3.tif
3,8,9,403,41,105,rep1_FOV3.tif
3,9,11,439,460,86,rep1_FOV3.tif
3,10,11,449,475,74,rep1_FOV3.tif
3,11,12,549,333,85,rep1_FOV3.tif
4,1,1,99,448,120,rep1_FOV3.tif
4,2,1,111,473,77,rep1_FOV3.tif
4,3,2,112,61,115,rep1_FOV3.tif
4,4,3,160,600,73,rep1_FOV3.tif
4,5,4,179,352,85,rep1_FOV3.tif
4,6,9,404,40,74,rep1_FOV3.tif
4,7,10,459,192,70,rep1_FOV3.tif
4,8,10,473,177,224,rep1_FOV3.tif
4,9,11,441,457,85,rep1_FOV3.tif
4,10,12,540,349,72,rep1_FOV3.tif
4,11,12,550,333,200,rep1_FOV3.tif
4,12,13,553,500,255,rep1_FOV3.tif
5,1,1,99,452,75,rep1_FOV3.tif
5,2,3,157,605,186,rep1_FOV3.tif
5,3,5,257,85,140,rep1_FOV3.tif
5,4,10,472,177,203,rep1_FOV3.tif
5,5,11,439,459,69,rep1_FOV3.tif
5,6,12,551,333,103,rep1_FOV3.tif
5,7,13,552,501,255,rep1_FOV3.tif
6,1,5,259,85,74,rep1_FOV3.tif
6,2,10,472,177,128,rep1_FOV3.tif
6,3,12,551,332,85,rep1_FOV3.tif
6,4,13,553,500,214,rep1_FOV3.tif
7,1,4,180,354,73,rep1_FOV3.tif
7,2,6,300,265,71,rep1_FOV3.tif
7,3,7,319,382,78,rep1_FOV3.tif
7,4,10,471,177,76,rep1_FOV3.tif
7,5,11,460,465,255,rep1_FOV3.tif
7,6,12,551,332,255,rep1_FOV3.tif
7,7,13,554,499,79,rep1_FOV3.tif
8,1,1,99,448,151,rep1_FOV3.tif
8,2,2,114,63,81,rep1_FOV3.tif
8,3,4,180,354,72,rep1_FOV3.tif
8,4,5,244,68,69,rep1_FOV3.tif
8,5,6,303,263,255,rep1_FOV3.tif
8,6,7,325,379,170,rep1_FOV3.tif
8,7,9,403,41,180,rep1_FOV3.tif
8,8,11,442,458,118,rep1_FOV3.tif
8,9,11,460,465,255,rep1_FOV3.tif
8,10,12,552,332,123,rep1_FOV3.tif
9,1,1,99,450,94,rep1_FOV3.tif
9,2,2,120,59,70,rep1_FOV3.tif
9,3,3,157,607,113,rep1_FOV3.tif
9,4,4,185,353,255,rep1_FOV3.tif
9,5,5,244,71,123,rep1_FOV3.tif
9,6,5,260,83,214,rep1_FOV3.tif
9,7,7,327,379,87,rep1_FOV3.tif
9,8,9,403,41,255,rep1_FOV3.tif
9,9,10,473,177,167,rep1_FOV3.tif
9,10,11,461,465,100,rep1_FOV3.tif
9,11,12,553,332,102,rep1_FOV3.tif
9,12,14,602,190,255,rep1_FOV3.tif
10,1,1,99,451,94,rep1_FOV3.tif
10,2,2,111,62,131,rep1_FOV3.tif
10,3,3,158,610,72,rep1_FOV3.tif
10,4,4,189,353,83,rep1_FOV3.tif
10,5,5,243,70,255,rep1_FOV3.tif
10,6,5,260,84,95,rep1_FOV3.tif
10,7,7,326,380,200,rep1_FOV3.tif
10,8,9,403,41,130,rep1_FOV3.tif
10,9,10,473,177,107,rep1_FOV3.tif
10,10,11,461,469,69,rep1_FOV3.tif
10,11,12,534,335,255,rep1_FOV3.tif
10,12,12,552,333,159,rep1_FOV3.tif
10,13,14,603,189,255,rep1_FOV3.tif
11,1,1,100,448,121,rep1_FOV3.tif
11,2,2,117,61,255,rep1_FOV3.tif
11,3,5,244,69,174,rep1_FOV3.tif
11,4,5,258,85,110,rep1_FOV3.tif
11,5,7,326,380,180,rep1_FOV3.tif
11,6,8,368,587,143,rep1_FOV3.tif
11,7,9,404,42,96,rep1_FOV3.tif
11,8,11,442,457,172,rep1_FOV3.tif
11,9,11,458,470,77,rep1_FOV3.tif
11,10,12,533,335,255,rep1_FOV3.tif
11,11,12,550,334,192,rep1_FOV3.tif
11,12,14,602,188,195,rep1_FOV3.tif
12,1,1,98,448,156,rep1_FOV3.tif
12,2,2,117,61,235,rep1_FOV3.tif
12,3,3,156,606,137,rep1_FOV3.tif
12,4,4,185,355,153,rep1_FOV3.tif
12,5,5,242,67,78,rep1_FOV3.tif
12,6,7,327,380,201,rep1_FOV3.tif
12,7,8,367,588,128,rep1_FOV3.tif
12,8,9,403,42,134,rep1_FOV3.tif
12,9,11,443,457,99,rep1_FOV3.tif
12,10,12,533,337,98,rep1_FOV3.tif
12,11,14,602,189,195,rep1_FOV3.tif
13,1,1,98,448,91,rep1_FOV3.tif
13,2,2,117,61,116,rep1_FOV3.tif
13,3,4,183,355,72,rep1_FOV3.tif
13,4,5,257,86,158,rep1_FOV3.tif
13,5,7,329,380,100,rep1_FOV3.tif
13,6,9,403,42,237,rep1_FOV3.tif
13,7,11,443,457,74,rep1_FOV3.tif
13,8,14,603,189,255,rep1_FOV3.tif
14,1,1,98,449,119,rep1_FOV3.tif
14,2,2,118,61,179,rep1_FOV3.tif
14,3,5,258,82,68,rep1_FOV3.tif
14,4,13,555,500,255,rep1_FOV3.tif
14,5,14,604,189,114,rep1_FOV3.tif
15,1,1,100,448,234,rep1_FOV3.tif
15,2,2,111,61,255,rep1_FOV3.tif
15,3,2,130,58,71,rep1_FOV3.tif
15,4,4,178,353,82,rep1_FOV3.tif
15,5,5,241,69,73,rep1_FOV3.tif
15,6,6,299,262,89,rep1_FOV3.tif
15,7,13,545,499,76,rep1_FOV3.tif
15,8,13,556,502,148,rep1_FOV3.tif
15,9,14,604,189,106,rep1_FOV3.tif
16,1,1,99,448,213,rep1_FOV3.tif
16,2,2,111,61,159,rep1_FOV3.tif
16,3,4,185,354,255,rep1_FOV3.tif
16,4,6,298,261,255,rep1_FOV3.tif
16,5,13,552,501,197,rep1_FOV3.tif
17,1,1,99,448,255,rep1_FOV3.tif
17,2,2,111,61,79,rep1_FOV3.tif
17,3,4,184,355,151,rep1_FOV3.tif
17,4,6,301,262,255,rep1_FOV3.tif
17,5,7,327,378,128,rep1_FOV3.tif
17,6,10,472,179,82,rep1_FOV3.tif
17,7,12,551,332,73,rep1_FOV3.tif
17,8,13,555,501,217,rep1_FOV3.tif
18,1,4,185,353,133,rep1_FOV3.tif
18,2,6,301,261,145,rep1_FOV3.tif
18,3,7,327,378,79,rep1_FOV3.tif
18,4,8,363,577,85,rep1_FOV3.tif
18,5,10,461,174,90,rep1_FOV3.tif
18,6,10,474,179,147,rep1_FOV3.tif
18,7,12,533,335,255,rep1_FOV3.tif
18,8,12,549,333,255,rep1_FOV3.tif
18,9,13,556,502,123,rep1_FOV3.tif
19,1,3,157,607,218,rep1_FOV3.tif
19,2,4,186,354,255,rep1_FOV3.tif
19,3,9,402,40,147,rep1_FOV3.tif
19,4,10,475,177,102,rep1_FOV3.tif
19,5,12,533,335,136,rep1_FOV3.tif
19,6,12,549,332,133,rep1_FOV3.tif
20,1,1,99,448,255,rep1_FOV3.tif
20,2,3,157,608,142,rep1_FOV3.tif
20,3,4,182,353,160,rep1_FOV3.tif
20,4,6,303,263,255,rep1_FOV3.tif
20,5,9,404,41,255,rep1_FOV3.tif
20,6,10,462,174,255,rep1_FOV3.tif
20,7,12,533,334,104,rep1_FOV3.tif
20,8,12,550,333,255,rep1_FOV3.tif
0,1,5,295,557,255,rep1_FOV4.tif
0,2,6,359,294,255,rep1_FOV4.tif
0,3,7,370,112,66,rep1_FOV4.tif
0,4,9,536,52,76,rep1_FOV4.tif
0,5,10,532,291,157,rep1_FOV4.tif
0,6,11,523,555,134,rep1_FOV4.tif
0,7,11,541,550,73,rep1_FOV4.tif
1,1,5,269,584,74,rep1_FOV4.tif
1,2,5,296,557,164,rep1_FOV4.tif
1,3,6,359,295,255,rep1_FOV4.tif
1,4,8,353,511,94,rep1_FOV4.tif
1,5,8,355,467,74,rep1_FOV4.tif
1,6,8,365,492,255,rep1_FOV4.tif
1,7,8,369,509,86,rep1_FOV4.tif
1,8,8,388,491,96,rep1_FOV4.tif
1,9,9,539,52,72,rep1_FOV4.tif
1,10,10,531,290,160,rep1_FOV4.tif
2,1,5,296,558,124,rep1_FOV4.tif
2,2,6,343,268,69,rep1_FOV4.tif
2,3,6,358,296,155,rep1_FOV4.tif
2,4,8,365,494,203,rep1_FOV4.tif
2,5,8,375,471,71,rep1_FOV4.tif
3,1,5,296,558,77,rep1_FOV4.tif
3,2,6,360,294,216,rep1_FOV4.tif
3,3,6,380,284,80,rep1_FOV4.tif
3,4,8,364,491,179,rep1_FOV4.tif
4,1,4,270,56,96,rep1_FOV4.tif
4,2,6,359,291,255,rep1_FOV4.tif
4,3,8,366,490,96,rep1_FOV4.tif
4,4,9,530,54,105,rep1_FOV4.tif
5,1,4,268,55,175,rep1_FOV4.tif
5,2,5,296,558,185,rep1_FOV4.tif
5,3,6,361,292,143,rep1_FOV4.tif
5,4,7,367,111,183,rep1_FOV4.tif
6,1,2,207,207,195,rep1_FOV4.tif
6,2,4,269,56,96,rep1_FOV4.tif
6,3,5,296,555,201,rep1_FOV4.tif
6,4,6,358,295,111,rep1_FOV4.tif
6,5,7,366,111,85,rep1_FOV4.tif
6,6,9,536,50,172,rep1_FOV4.tif
6,7,10,530,289,233,rep1_FOV4.tif
6,8,11,532,551,104,rep1_FOV4.tif
7,1,2,207,207,255,rep1_FOV4.tif
7,2,2,227,196,67,rep1_FOV4.tif
7,3,4,267,55,255,rep1_FOV4.tif
7,4,5,295,556,255,rep1_FOV4.tif
7,5,6,360,289,115,rep1_FOV4.tif
7,6,8,367,482,170,rep1_FOV4.tif
7,7,9,537,51,102,rep1_FOV4.tif
7,8,10,529,289,146,rep1_FOV4.tif
7,9,11,531,549,88,rep1_FOV4.tif
8,1,2,207,206,136,rep1_FOV4.tif
8,2,4,263,77,255,rep1_FOV4.tif
8,3,4,267,55,112,rep1_FOV4.tif
8,4,5,294,556,170,rep1_FOV4.tif
8,5,6,360,291,255,rep1_FOV4.tif
8,6,7,368,111,104,rep1_FOV4.tif
8,7,8,366,481,91,rep1_FOV4.tif
8,8,9,537,52,98,rep1_FOV4.tif
8,9,10,528,288,99,rep1_FOV4.tif
8,10,11,529,551,255,rep1_FOV4.tif
9,1,2,206,207,103,rep1_FOV4.tif
9,2,3,251,445,194,rep1_FOV4.tif
9,3,4,263,77,176,rep1_FOV4.tif
9,4,4,267,56,105,rep1_FOV4.tif
9,5,6,359,291,154,rep1_FOV4.tif
9,6,7,368,112,134,rep1_FOV4.tif
9,7,11,529,551,227,rep1_FOV4.tif
10,1,2,207,207,76,rep1_FOV4.tif
10,2,3,250,447,76,rep1_FOV4.tif
10,3,4,264,78,196,rep1_FOV4.tif
10,4,4,267,55,74,rep1_FOV4.tif
10,5,5,296,556,197,rep1_FOV4.tif
10,6,6,358,294,81,rep1_FOV4.tif
10,7,7,369,112,76,rep1_FOV4.tif
10,8,7,378,120,255,rep1_FOV4.tif
10,9,8,365,494,160,rep1_FOV4.tif
10,10,10,531,289,255,rep1_FOV4.tif
10,11,11,531,549,139,rep1_FOV4.tif
11,1,3,252,447,73,rep1_FOV4.tif
11,2,4,264,77,114,rep1_FOV4.tif
11,3,4,267,56,255,rep1_FOV4.tif
11,4,5,295,557,121,rep1_FOV4.tif
11,5,6,359,293,255,rep1_FOV4.tif
