Time,Transcription_Site_ID,Cell_ID,Position_X,Position_Y,Intensity,image_name
0,1,1,54,86,88,rep1_FOV1.tif
0,2,2,106,499,95,rep1_FOV1.tif
0,3,4,157,142,147,rep1_FOV1.tif
0,4,5,269,361,236,rep1_FOV1.tif
0,5,8,372,288,255,rep1_FOV1.tif
0,6,9,357,81,75,rep1_FOV1.tif
0,7,9,360,93,89,rep1_FOV1.tif
0,8,11,480,563,105,rep1_FOV1.tif
0,9,11,492,544,128,rep1_FOV1.tif
0,10,13,566,549,70,rep1_FOV1.tif
0,11,13,591,551,100,rep1_FOV1.tif
0,12,14,576,316,81,rep1_FOV1.tif
0,13,14,591,307,109,rep1_FOV1.tif
1,1,1,53,86,255,rep1_FOV1.tif
1,2,2,142,493,75,rep1_FOV1.tif
1,3,3,132,428,155,rep1_FOV1.tif
1,4,4,157,143,129,rep1_FOV1.tif
1,5,5,268,360,106,rep1_FOV1.tif
1,6,7,291,477,225,rep1_FOV1.tif
1,7,8,372,286,144,rep1_FOV1.tif
1,8,11,482,562,94,rep1_FOV1.tif
1,9,11,492,543,220,rep1_FOV1.tif
1,10,12,555,150,249,rep1_FOV1.tif
2,1,1,56,85,255,rep1_FOV1.tif
2,2,2,106,500,255,rep1_FOV1.tif
2,3,3,133,429,113,rep1_FOV1.tif
2,4,3,141,420,79,rep1_FOV1.tif
2,5,5,267,360,70,rep1_FOV1.tif
2,6,7,291,477,178,rep1_FOV1.tif
2,7,8,372,287,118,rep1_FOV1.tif
2,8,11,481,562,74,rep1_FOV1.tif
2,9,11,491,554,83,rep1_FOV1.tif
2,10,11,493,544,99,rep1_FOV1.tif
2,11,12,556,149,204,rep1_FOV1.tif
3,1,1,36,84,72,rep1_FOV1.tif
3,2,1,57,86,255,rep1_FOV1.tif
3,3,1,71,79,87,rep1_FOV1.tif
3,4,2,108,501,138,rep1_FOV1.tif
3,5,3,143,419,206,rep1_FOV1.tif
3,6,4,168,165,74,rep1_FOV1.tif
3,7,7,291,477,238,rep1_FOV1.tif
3,8,8,372,288,237,rep1_FOV1.tif
3,9,10,439,197,243,rep1_FOV1.tif
3,10,12,555,149,126,rep1_FOV1.tif
3,11,13,591,552,255,rep1_FOV1.tif
4,1,1,49,63,84,rep1_FOV1.tif
4,2,1,56,85,203,rep1_FOV1.tif
4,3,2,107,500,99,rep1_FOV1.tif
4,4,3,143,417,132,rep1_FOV1.tif
4,5,4,155,138,148,rep1_FOV1.tif
4,6,7,290,476,112,rep1_FOV1.tif
4,7,7,296,484,198,rep1_FOV1.tif
4,8,8,370,289,122,rep1_FOV1.tif
4,9,10,440,196,171,rep1_FOV1.tif
4,10,10,462,207,70,rep1_FOV1.tif
4,11,12,553,148,255,rep1_FOV1.tif
4,12,13,585,540,81,rep1_FOV1.tif
4,13,13,591,553,255,rep1_FOV1.tif
4,14,13,591,526,69,rep1_FOV1.tif
4,15,13,597,566,87,rep1_FOV1.tif
4,16,14,589,306,150,rep1_FOV1.tif
5,1,1,57,84,112,rep1_FOV1.tif
5,2,3,130,430,68,rep1_FOV1.tif
5,3,3,142,417,89,rep1_FOV1.tif
5,4,4,154,137,73,rep1_FOV1.tif
5,5,7,297,485,74,rep1_FOV1.tif
5,6,8,370,291,87,rep1_FOV1.tif
5,7,10,440,196,110,rep1_FOV1.tif
5,8,12,552,148,106,rep1_FOV1.tif
5,9,13,592,555,92,rep1_FOV1.tif
5,10,13,597,562,80,rep1_FOV1.tif
5,11,14,589,306,72,rep1_FOV1.tif
6,1,1,64,51,74,rep1_FOV1.tif
6,2,3,143,418,69,rep1_FOV1.tif
6,3,10,439,195,104,rep1_FOV1.tif
6,4,13,593,553,75,rep1_FOV1.tif
6,5,14,591,305,77,rep1_FOV1.tif
7,1,8,376,295,68,rep1_FOV1.tif
8,1,4,153,140,106,rep1_FOV1.tif
0,1,8,405,254,255,rep1_FOV2.tif
0,2,9,422,148,255,rep1_FOV2.tif
0,3,9,437,164,77,rep1_FOV2.tif
1,1,2,66,608,204,rep1_FOV2.tif
1,2,5,287,174,255,rep1_FOV2.tif
1,3,6,304,440,153,rep1_FOV2.tif
1,4,8,394,237,84,rep1_FOV2.tif
1,5,8,402,244,88,rep1_FOV2.tif
1,6,8,407,255,132,rep1_FOV2.tif
1,7,9,399,150,76,rep1_FOV2.tif
1,8,9,421,149,181,rep1_FOV2.tif
2,1,2,65,607,146,rep1_FOV2.tif
2,2,3,193,65,148,rep1_FOV2.tif
2,3,5,257,174,77,rep1_FOV2.tif
2,4,5,287,173,153,rep1_FOV2.tif
2,5,6,304,440,128,rep1_FOV2.tif
2,6,8,405,255,177,rep1_FOV2.tif
2,7,9,420,148,95,rep1_FOV2.tif
3,1,2,66,607,81,rep1_FOV2.tif
3,2,8,406,257,127,rep1_FOV2.tif
3,3,8,426,268,77,rep1_FOV2.tif
3,4,9,420,148,74,rep1_FOV2.tif
