time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
0,1.0,586660,418188,7504,2552,6.0,3.0,34.02100161550889,rep1_FOV1.tif
0,2.0,1297490,443691,7424,2706,10.0,2.0,180.96629927935567,rep1_FOV1.tif
0,3.0,667501,444031,7006,2699,6.0,1.0,51.88530299512421,rep1_FOV1.tif
0,4.0,621693,442210,6790,2706,7.0,2.0,43.94784524975514,rep1_FOV1.tif
0,5.0,524624,385757,7096,2353,3.0,2.0,29.27830487033523,rep1_FOV1.tif
0,6.0,509355,434656,6884,2626,1.0,0.0,17.54321277595115,rep1_FOV1.tif
0,7.0,869969,433204,7029,2654,9.0,2.0,99.832,rep1_FOV1.tif
0,8.0,670006,401135,7283,2462,13.0,4.0,55.770794440987345,rep1_FOV1.tif
0,9.0,705866,428769,7020,2631,9.0,3.0,63.13442697653224,rep1_FOV1.tif
0,10.0,893899,436270,8091,2652,8.0,1.0,84.138444567016,rep1_FOV1.tif
0,11.0,711676,432218,6863,2641,10.0,5.0,66.19090478446233,rep1_FOV1.tif
0,12.0,1159806,443766,8126,2694,16.0,3.0,131.81885125184095,rep1_FOV1.tif
0,13.0,697963,401711,6803,2437,14.0,5.0,67.85432890517636,rep1_FOV1.tif
0,14.0,876784,443295,7820,2701,20.0,8.0,84.68235983590544,rep1_FOV1.tif
1,1.0,635281,418137,7493,2548,8.0,4.0,43.9118301314459,rep1_FOV1.tif
1,2.0,1106821,443647,7402,2695,8.0,2.0,140.8910133843212,rep1_FOV1.tif
1,3.0,664306,440108,6972,2687,7.0,1.0,52.321586931155196,rep1_FOV1.tif
1,4.0,659029,438504,6755,2704,10.0,3.0,54.437176005924464,rep1_FOV1.tif
1,5.0,543820,384627,7067,2331,10.0,5.0,33.61338682432432,rep1_FOV1.tif
1,6.0,499251,430099,6837,2615,1.0,0.0,16.37896731406916,rep1_FOV1.tif
1,7.0,795144,432124,7016,2638,14.0,8.0,82.9191411603472,rep1_FOV1.tif
1,8.0,799836,401515,7282,2460,13.0,4.0,82.60493571132311,rep1_FOV1.tif
1,9.0,693779,430067,7019,2617,9.0,2.0,59.90731485688323,rep1_FOV1.tif
1,10.0,828098,433080,8048,2637,4.0,0.0,73.00277213084458,rep1_FOV1.tif
1,11.0,717080,433063,6834,2632,10.0,5.0,67.5909090909091,rep1_FOV1.tif
1,12.0,1103236,441183,8115,2686,13.0,2.0,121.94750414440965,rep1_FOV1.tif
1,13.0,707665,394337,6786,2412,13.0,2.0,71.63420210333791,rep1_FOV1.tif
1,14.0,890343,445680,7804,2699,15.0,6.0,87.10342801175318,rep1_FOV1.tif
2,1.0,674607,416305,7482,2549,9.0,3.0,52.36205148996554,rep1_FOV1.tif
2,2.0,972082,443664,7391,2703,7.0,2.0,112.71715017064847,rep1_FOV1.tif
2,3.0,683708,443340,6983,2688,11.0,4.0,55.96461001164144,rep1_FOV1.tif
2,4.0,672241,442309,6758,2694,8.0,2.0,56.57775590551181,rep1_FOV1.tif
2,5.0,599380,380716,7066,2339,10.0,4.0,46.25851491432198,rep1_FOV1.tif
2,6.0,500218,430919,6838,2603,1.0,0.0,16.363400236127507,rep1_FOV1.tif
2,7.0,862523,432170,7029,2624,18.0,4.0,97.69648127128264,rep1_FOV1.tif
2,8.0,860989,408792,7283,2458,12.0,3.0,93.71958549222798,rep1_FOV1.tif
2,9.0,686347,434576,7015,2626,4.0,0.0,57.364092048302574,rep1_FOV1.tif
2,10.0,751356,434006,8016,2639,1.0,0.0,59.019899572252186,rep1_FOV1.tif
2,11.0,771401,430468,6817,2634,15.0,5.0,81.50442266316041,rep1_FOV1.tif
2,12.0,1102565,440808,8124,2693,14.0,2.0,121.84809427361444,rep1_FOV1.tif
2,13.0,701623,402540,6774,2432,6.0,2.0,68.88139106402579,rep1_FOV1.tif
2,14.0,873334,443921,7810,2689,10.0,0.0,83.85334895528217,rep1_FOV1.tif
3,1.0,767889,418022,7504,2546,13.0,4.0,70.56615570794675,rep1_FOV1.tif
3,2.0,907992,442539,7346,2702,13.0,2.0,100.22674418604652,rep1_FOV1.tif
3,3.0,656771,440844,6972,2686,9.0,4.0,50.37960802613159,rep1_FOV1.tif
3,4.0,729134,441556,6782,2691,9.0,2.0,70.2952823270594,rep1_FOV1.tif
3,5.0,619233,381793,7061,2342,7.0,1.0,50.315744861199406,rep1_FOV1.tif
3,6.0,484019,426020,6815,2606,0.0,0.0,13.77975766215253,rep1_FOV1.tif
3,7.0,982842,434868,7029,2638,17.0,5.0,124.79480756092006,rep1_FOV1.tif
3,8.0,820133,403508,7282,2449,8.0,3.0,86.2042209807573,rep1_FOV1.tif
3,9.0,675734,435980,7009,2625,4.0,0.0,54.68841240875913,rep1_FOV1.tif
3,10.0,682834,432285,7986,2626,8.0,4.0,46.74421641791045,rep1_FOV1.tif
3,11.0,824074,431166,6840,2634,11.0,3.0,93.41607227769853,rep1_FOV1.tif
3,12.0,1095595,444802,8121,2685,15.0,4.0,119.71909492273731,rep1_FOV1.tif
3,13.0,642435,400096,6770,2421,5.0,1.0,55.722924810301215,rep1_FOV1.tif
3,14.0,823980,443395,7797,2678,7.0,0.0,74.34752881422153,rep1_FOV1.tif
4,1.0,935096,420664,7503,2548,21.0,6.0,103.82078708375379,rep1_FOV1.tif
4,2.0,878856,443620,7224,2688,9.0,2.0,95.95149911816578,rep1_FOV1.tif
4,3.0,649263,439839,6953,2670,11.0,6.0,48.89656782628998,rep1_FOV1.tif
4,4.0,758159,438658,6772,2683,11.0,2.0,78.13670824162386,rep1_FOV1.tif
4,5.0,630387,384164,7064,2347,5.0,1.0,52.19906720373118,rep1_FOV1.tif
4,6.0,472369,428171,6840,2595,0.0,0.0,10.411778563015313,rep1_FOV1.tif
4,7.0,1135202,435571,7029,2627,14.0,5.0,158.93480236256246,rep1_FOV1.tif
4,8.0,756028,403093,7253,2457,7.0,2.0,73.58944954128441,rep1_FOV1.tif
4,9.0,630387,437296,7005,2617,3.0,0.0,44.00432999088423,rep1_FOV1.tif
4,10.0,709500,435078,7999,2636,16.0,8.0,51.16949468581018,rep1_FOV1.tif
4,11.0,828484,433394,6844,2634,12.0,2.0,93.84560570071258,rep1_FOV1.tif
4,12.0,995980,442051,8075,2687,9.0,2.0,102.80790645879733,rep1_FOV1.tif
4,13.0,620314,391835,6750,2424,16.0,9.0,52.815302820157186,rep1_FOV1.tif
4,14.0,739790,444275,7741,2685,5.0,1.0,58.448378164556964,rep1_FOV1.tif
5,1.0,1058725,422034,7504,2547,18.0,4.0,128.44280815009077,rep1_FOV1.tif
5,2.0,859665,441945,7173,2701,11.0,2.0,93.40787119856887,rep1_FOV1.tif
5,3.0,632780,444795,6913,2685,11.0,6.0,44.461920529801326,rep1_FOV1.tif
5,4.0,765608,438951,6765,2689,8.0,2.0,80.14156035328753,rep1_FOV1.tif
5,5.0,622285,385898,7073,2334,3.0,0.0,49.881198565098124,rep1_FOV1.tif
5,6.0,458147,427949,6797,2610,0.0,0.0,7.212323859565322,rep1_FOV1.tif
5,7.0,1143725,433563,7029,2632,15.0,6.0,161.51057539231294,rep1_FOV1.tif
5,8.0,719070,398637,7242,2454,11.0,5.0,66.92418546365914,rep1_FOV1.tif
5,9.0,596858,431604,6994,2623,2.0,0.0,37.80690917410204,rep1_FOV1.tif
5,10.0,789585,435002,8005,2639,13.0,3.0,66.0795751024972,rep1_FOV1.tif
5,11.0,778311,434806,6819,2632,6.0,1.0,82.0408406973967,rep1_FOV1.tif
5,12.0,954169,442507,8077,2686,14.0,5.0,94.9104062326099,rep1_FOV1.tif
5,13.0,725859,397272,6765,2421,22.0,8.0,75.64157458563535,rep1_FOV1.tif
5,14.0,698208,444322,7765,2690,7.0,5.0,50.02679802955665,rep1_FOV1.tif
6,1.0,1103718,415550,7504,2548,14.0,3.0,138.85552865213882,rep1_FOV1.tif
6,2.0,768426,442035,7205,2696,3.0,0.0,72.38656021290751,rep1_FOV1.tif
6,3.0,644133,433862,6969,2683,7.0,3.0,49.05996266915539,rep1_FOV1.tif
6,4.0,758015,439100,6780,2695,6.0,2.0,78.06976744186046,rep1_FOV1.tif
