,time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,protein concentrations (AU)
97,12,4.0,521175,409138,6969,2495,25.041797049620026
98,12,5.0,663151,410697,7036,2505,55.71706025160009
99,12,6.0,522905,439948,7703,2685,16.531885213232364
100,12,8.0,496242,423863,6827,2570,17.002349072116512
101,12,9.0,587893,422011,7212,2561,35.6658783057407
102,13,2.0,488337,388536,7380,2357,19.86880350388214
103,13,3.0,612783,474347,7668,2890,28.97362913352867
104,13,4.0,546096,406341,7047,2481,30.607752956636006
105,13,5.0,615834,410939,7077,2493,44.69786212914485
106,13,6.0,527306,442113,7779,2692,16.747198741891093
107,13,8.0,498792,421933,6823,2562,18.037784557615584
108,13,9.0,569088,416058,7197,2556,32.97349709114415
109,14,2.0,514083,387231,7383,2378,25.345054945054944
110,14,3.0,605279,473969,7698,2892,27.322097378277153
111,14,4.0,551609,401481,7041,2473,32.86514886164623
112,14,5.0,593730,409388,7039,2501,40.62185985015425
113,14,6.0,519606,438832,7725,2678,16.004359025163463
114,14,8.0,483513,420751,6810,2550,14.732863849765259
115,14,9.0,568777,421281,7201,2581,31.925541125541127
116,15,2.0,516546,389130,7382,2387,25.50870870870871
117,15,3.0,613879,477291,7708,2892,28.361295681063122
118,15,4.0,552360,404414,7035,2484,32.50845967919139
119,15,5.0,582760,408346,7081,2505,38.11494755244755
120,15,6.0,522611,444357,7748,2693,15.480514342235411
121,15,8.0,481618,423697,6822,2562,13.596478873239437
122,15,9.0,578167,419051,7217,2573,34.26270456503015
123,16,2.0,535082,389628,7398,2374,28.951831210191084
124,16,3.0,662292,479990,7762,2893,37.44136372971863
125,16,4.0,533241,405030,7024,2482,28.22787318361955
126,16,5.0,561499,412259,7043,2498,32.83608360836084
127,16,6.0,532976,444656,7769,2690,17.389249852333137
128,16,8.0,467983,416666,6829,2558,12.015218918286116
129,16,9.0,580104,417719,7194,2572,35.133059281696234
130,17,2.0,518279,388602,7401,2368,25.76534869858931
131,17,3.0,672702,475182,7730,2886,40.77621800165153
132,17,4.0,500174,407634,7006,2480,20.44631020768891
133,17,5.0,574385,410400,7033,2501,36.18380406001765
134,17,6.0,532216,441160,7757,2691,17.973943939992104
135,17,8.0,453421,422079,6783,2547,7.398961284230406
136,17,9.0,581807,416820,7209,2572,35.58054776795342
137,18,3.0,634224,473421,7746,2893,33.13476200288481
138,18,4.0,484957,408080,7013,2479,16.95566828407587
139,18,5.0,593127,410027,7056,2498,40.17112768758227
140,18,6.0,514712,445138,7713,2686,13.840063656256216
141,18,8.0,459603,421199,6803,2566,9.063960349303752
142,18,9.0,577991,422719,7200,2569,33.528827467069746
143,19,3.0,634818,479031,7640,2890,32.79726315789474
144,19,4.0,467399,408216,6981,2489,13.17520035618878
145,19,5.0,587518,411144,7043,2500,38.823244552058114
146,19,6.0,504083,439330,7700,2690,12.924750499001997
147,19,8.0,494699,421302,6828,2566,17.221257625527922
148,19,9.0,576672,428423,7211,2588,32.067704953493404
150,20,3.0,606027,479444,7677,2897,26.481799163179915
151,20,4.0,481681,408831,6999,2495,16.174511545293072
152,20,5.0,572560,407164,7014,2505,36.681304058549564
153,20,6.0,505642,442109,7770,2695,12.518817733990147
154,20,8.0,484393,421577,6815,2558,14.755931407094197
155,20,9.0,566667,419108,7218,2551,31.61752731947718
