time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
4,4.0,699928,430923,7128,2621,7.0,4.0,59.68604393166186,rep1_FOV1.tif
4,5.0,591431,447202,7983,2707,2.0,0.0,27.336808188021227,rep1_FOV1.tif
4,6.0,793077,455329,7475,2756,5.0,1.0,71.57194320830685,rep1_FOV1.tif
4,7.0,1029282,446151,7558,2731,16.0,3.0,120.8060907395898,rep1_FOV1.tif
4,8.0,606739,461338,8023,2803,0.0,0.0,27.854597701149427,rep1_FOV1.tif
4,9.0,975965,433801,7539,2630,9.0,1.0,110.44286005296394,rep1_FOV1.tif
4,10.0,870045,433476,8031,2649,11.0,2.0,81.1164994425864,rep1_FOV1.tif
4,11.0,496516,426045,7426,2580,12.0,8.0,14.542096574494428,rep1_FOV1.tif
4,12.0,642386,413725,7866,2494,8.0,1.0,42.56533879374535,rep1_FOV1.tif
4,13.0,680966,442873,8151,2695,11.0,5.0,43.63874633431085,rep1_FOV1.tif
4,14.0,531264,411427,7443,2515,4.0,2.0,24.317573051948052,rep1_FOV1.tif
5,1.0,908455,418599,7377,2552,1.0,1.0,101.52455958549223,rep1_FOV1.tif
5,2.0,554228,457264,7868,2788,1.0,1.0,19.08740157480315,rep1_FOV1.tif
5,3.0,464107,404949,7264,2479,0.0,0.0,12.363218390804597,rep1_FOV1.tif
5,4.0,630477,435520,7138,2622,2.0,1.0,43.17028343666962,rep1_FOV1.tif
5,5.0,589923,440705,8002,2703,2.0,2.0,28.15965276467258,rep1_FOV1.tif
5,6.0,714396,454478,7479,2752,1.0,1.0,54.98582610535223,rep1_FOV1.tif
5,7.0,901026,448671,7547,2734,1.0,0.0,93.98607936837732,rep1_FOV1.tif
5,8.0,566698,459027,8061,2799,0.0,0.0,20.461991638160395,rep1_FOV1.tif
5,9.0,832354,432998,7529,2624,0.0,0.0,81.41814475025484,rep1_FOV1.tif
5,10.0,778233,434970,7998,2653,2.0,1.0,64.22132834424696,rep1_FOV1.tif
5,11.0,527351,427022,7442,2595,3.0,2.0,20.69919537858469,rep1_FOV1.tif
5,12.0,607699,409370,7886,2490,0.0,0.0,36.75481838398814,rep1_FOV1.tif
5,13.0,684536,446212,8266,2693,4.0,2.0,42.76404091153777,rep1_FOV1.tif
5,14.0,520635,411728,7419,2508,3.0,2.0,22.176135206678882,rep1_FOV1.tif
6,1.0,738389,417313,7368,2556,1.0,1.0,66.72402327514547,rep1_FOV1.tif
6,2.0,529755,458608,7891,2786,1.0,1.0,13.936728697355534,rep1_FOV1.tif
6,3.0,463765,406456,7327,2481,0.0,0.0,11.826042096574495,rep1_FOV1.tif
6,4.0,580347,430828,7177,2625,6.0,2.0,32.84688049209139,rep1_FOV1.tif
6,5.0,565097,447369,8004,2706,4.0,3.0,22.22121555303888,rep1_FOV1.tif
6,6.0,617289,452757,7466,2745,1.0,1.0,34.85109087057827,rep1_FOV1.tif
6,7.0,737791,450338,7553,2736,0.0,0.0,59.67469379281711,rep1_FOV1.tif
6,8.0,542486,458703,8075,2795,0.0,0.0,15.867992424242424,rep1_FOV1.tif
6,9.0,693938,429929,7506,2623,0.0,0.0,54.06696702846611,rep1_FOV1.tif
6,10.0,673600,435551,8020,2652,0.0,0.0,44.3459388971684,rep1_FOV1.tif
6,11.0,500634,430056,7410,2589,1.0,1.0,14.639701306782825,rep1_FOV1.tif
6,12.0,561580,414564,7944,2490,2.0,2.0,26.955628896222954,rep1_FOV1.tif
6,13.0,646586,442752,8265,2695,4.0,3.0,36.59497307001795,rep1_FOV1.tif
6,14.0,507767,412682,7484,2511,4.0,3.0,19.120249346470942,rep1_FOV1.tif
7,1.0,644981,424526,7355,2557,1.0,1.0,45.947269695706545,rep1_FOV1.tif
7,2.0,538879,456569,7923,2778,3.0,2.0,15.998056365403304,rep1_FOV1.tif
7,3.0,472517,405796,7296,2478,0.0,0.0,13.848277293482774,rep1_FOV1.tif
7,4.0,539179,427295,7165,2611,1.0,1.0,24.568291611769872,rep1_FOV1.tif
7,5.0,547677,443249,8070,2706,2.0,2.0,19.468307233407906,rep1_FOV1.tif
7,6.0,568627,452522,7477,2756,1.0,1.0,24.593306502859562,rep1_FOV1.tif
7,7.0,644940,447785,7555,2713,1.0,1.0,40.71767864518794,rep1_FOV1.tif
7,8.0,529027,466077,8097,2806,2.0,2.0,11.897561897561898,rep1_FOV1.tif
7,9.0,612995,430531,7561,2624,2.0,2.0,36.958476807778005,rep1_FOV1.tif
7,10.0,601968,438137,8012,2645,0.0,0.0,30.52561952673747,rep1_FOV1.tif
7,11.0,490577,425303,7456,2582,1.0,1.0,13.392285597045548,rep1_FOV1.tif
7,12.0,553597,411883,7949,2489,3.0,3.0,25.954945054945053,rep1_FOV1.tif
7,13.0,611979,444593,8312,2695,5.0,5.0,29.799893181413566,rep1_FOV1.tif
7,14.0,492780,415481,7468,2522,1.0,1.0,15.628588758592802,rep1_FOV1.tif
8,1.0,585903,418718,7366,2553,1.0,0.0,34.73613131103262,rep1_FOV1.tif
8,2.0,516738,459595,7927,2790,1.0,1.0,11.123807669846213,rep1_FOV1.tif
8,3.0,474825,406117,7359,2477,2.0,1.0,14.073740270380991,rep1_FOV1.tif
8,4.0,505735,431515,7150,2622,1.0,1.0,16.391342756183747,rep1_FOV1.tif
8,5.0,547446,443224,8067,2711,5.0,4.0,19.458924570575057,rep1_FOV1.tif
8,6.0,543350,451047,7500,2756,1.0,1.0,19.456787521079256,rep1_FOV1.tif
8,7.0,585328,451502,7551,2720,1.0,1.0,27.701511074311735,rep1_FOV1.tif
8,8.0,561286,463147,8223,2804,4.0,2.0,18.11016792766193,rep1_FOV1.tif
8,9.0,552918,430331,7560,2612,3.0,2.0,24.7750606305578,rep1_FOV1.tif
8,11.0,490737,424949,7459,2585,0.0,0.0,13.49774312679524,rep1_FOV1.tif
8,12.0,547362,409214,7953,2487,5.0,4.0,25.274057811928284,rep1_FOV1.tif
8,13.0,574460,443199,8316,2691,3.0,3.0,23.33528888888889,rep1_FOV1.tif
8,14.0,496386,413795,7481,2517,0.0,0.0,16.63799355358582,rep1_FOV1.tif
9,1.0,544729,421931,7377,2549,0.0,0.0,25.434548467274233,rep1_FOV1.tif
9,2.0,503650,457338,7923,2784,1.0,1.0,9.011870013621326,rep1_FOV1.tif
9,3.0,466901,408899,7343,2482,3.0,2.0,11.932112734005349,rep1_FOV1.tif
9,4.0,490241,432187,7186,2609,0.0,0.0,12.68385405287306,rep1_FOV1.tif
9,5.0,545335,444082,8065,2694,4.0,4.0,18.85179668590579,rep1_FOV1.tif
9,6.0,512421,457583,7496,2753,0.0,0.0,11.561880666244992,rep1_FOV1.tif
9,7.0,544729,449354,7544,2719,1.0,1.0,19.76683937823834,rep1_FOV1.tif
9,8.0,552484,461126,8223,2782,2.0,2.0,16.790663480977763,rep1_FOV1.tif
9,9.0,525386,431778,7566,2617,1.0,1.0,18.91452818751263,rep1_FOV1.tif
9,11.0,482587,424284,7457,2584,0.0,0.0,11.964498255694643,rep1_FOV1.tif
9,12.0,538701,409144,7953,2484,4.0,3.0,23.68933991588956,rep1_FOV1.tif
9,13.0,560374,441381,8320,2685,4.0,4.0,21.116770186335405,rep1_FOV1.tif
9,14.0,492887,414822,7507,2511,2.0,1.0,15.625500400320256,rep1_FOV1.tif
10,1.0,519062,418675,7368,2553,0.0,0.0,20.848805815160954,rep1_FOV1.tif
10,2.0,511118,459766,7929,2788,3.0,3.0,9.98871814822019,rep1_FOV1.tif
10,3.0,480711,406896,7360,2477,2.0,2.0,15.116731517509727,rep1_FOV1.tif
10,4.0,477717,433859,7175,2624,0.0,0.0,9.637002856515052,rep1_FOV1.tif
10,5.0,531900,445262,8079,2700,1.0,1.0,16.106711284625394,rep1_FOV1.tif
10,6.0,490383,453837,7464,2749,1.0,1.0,7.751007423117709,rep1_FOV1.tif
10,7.0,508759,445926,7540,2714,1.0,1.0,13.01968503937008,rep1_FOV1.tif
10,8.0,554820,460575,8228,2798,3.0,1.0,17.35635359116022,rep1_FOV1.tif
10,9.0,514010,434209,7619,2631,1.0,1.0,15.9985966319166,rep1_FOV1.tif
10,11.0,476546,423391,7457,2566,0.0,0.0,10.867920670619505,rep1_FOV1.tif
10,12.0,555594,411492,7953,2493,1.0,1.0,26.392307692307693,rep1_FOV1.tif
10,13.0,556972,439099,8320,2692,4.0,4.0,20.94402985074627,rep1_FOV1.tif
10,14.0,498264,407488,7503,2506,1.0,1.0,18.16609965979588,rep1_FOV1.tif
11,1.0,496003,419306,7348,2556,0.0,0.0,16.005217028380635,rep1_FOV1.tif
11,2.0,530969,454891,7929,2778,1.0,1.0,14.769559308872063,rep1_FOV1.tif
11,3.0,476885,405744,7342,2485,0.0,0.0,14.64710726786082,rep1_FOV1.tif
11,4.0,464858,432777,7181,2623,0.0,0.0,7.038394032470381,rep1_FOV1.tif
11,5.0,531727,447775,8076,2706,0.0,0.0,15.633519553072626,rep1_FOV1.tif
11,6.0,497691,453315,7502,2742,0.0,0.0,9.322689075630253,rep1_FOV1.tif
11,7.0,499895,443245,7554,2727,1.0,1.0,11.73606795110835,rep1_FOV1.tif
11,8.0,555891,463681,8215,2805,3.0,3.0,17.044362292051755,rep1_FOV1.tif
11,9.0,503228,433378,7571,2625,1.0,1.0,14.12252325111201,rep1_FOV1.tif
11,11.0,480683,424281,7459,2589,0.0,0.0,11.581519507186858,rep1_FOV1.tif
11,12.0,539682,408674,7952,2501,4.0,4.0,24.033755274261605,rep1_FOV1.tif
11,13.0,548651,443391,8308,2687,7.0,7.0,18.72620530154777,rep1_FOV1.tif
11,14.0,481809,412566,7470,2523,1.0,1.0,13.996967859308672,rep1_FOV1.tif
12,1.0,475006,421198,7373,2557,0.0,0.0,11.172757475083056,rep1_FOV1.tif
12,2.0,540534,456735,7929,2780,1.0,1.0,16.27481064284327,rep1_FOV1.tif
12,3.0,468377,405414,7338,2480,0.0,0.0,12.96068340881021,rep1_FOV1.tif
12,4.0,468010,429128,7187,2623,1.0,1.0,8.519281332164768,rep1_FOV1.tif
12,5.0,528574,447150,8079,2704,0.0,0.0,15.148651162790697,rep1_FOV1.tif
12,6.0,487316,450832,7502,2752,0.0,0.0,7.6808421052631575,rep1_FOV1.tif
12,7.0,492650,446485,7514,2723,1.0,1.0,9.635775412231267,rep1_FOV1.tif
12,8.0,555286,458174,8203,2793,1.0,1.0,17.95046210720887,rep1_FOV1.tif
12,9.0,490346,428145,7571,2629,0.0,0.0,12.586199919061109,rep1_FOV1.tif
12,11.0,477754,421151,7460,2565,0.0,0.0,11.563432073544433,rep1_FOV1.tif
12,12.0,520022,407230,7953,2469,3.0,3.0,20.567469000729396,rep1_FOV1.tif
12,13.0,554874,440468,8312,2672,5.0,4.0,20.284751773049646,rep1_FOV1.tif
12,14.0,490839,412451,7484,2512,4.0,2.0,15.765888978278358,rep1_FOV1.tif
